epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8928,1.92122,3.40802,1.77381,0.01508,0.73648,0.53305,0.38844,1.76779,3.15519,1.57738,0.000543038,0.000543038,0.000543038
2,22.1029,1.83207,2.50632,1.6948,0.59167,0.55328,0.56383,0.39253,1.7976,2.66203,1.70651,0.00108783,0.00108783,0.00108783
3,31.9938,1.82315,2.20611,1.71683,0.42771,0.33945,0.27614,0.20685,nan,nan,nan,0.00162161,0.00162161,0.00162161
4,43.5472,1.8051,2.07618,1.71471,0.55865,0.56054,0.4985,0.33197,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,55.0013,1.74481,1.94703,1.71608,0.53927,0.66202,0.56278,0.41849,1.82116,6.64387,1.89444,0.00160099,0.00160099,0.00160099
6,66.4009,1.68509,1.78537,1.64506,0.66316,0.70648,0.64452,0.46804,1.59224,1.89882,1.56429,0.00158448,0.00158448,0.00158448
7,78.174,1.66564,1.71886,1.63428,0.6959,0.70521,0.67155,0.47953,1.72164,1.93436,1.66847,0.00156798,0.00156798,0.00156798
8,89.6,1.6214,1.64981,1.59951,0.7369,0.72705,0.73785,0.52772,1.68065,1.55716,1.558,0.00155148,0.00155148,0.00155148
9,100.863,1.64523,1.58611,1.62895,0.71515,0.71216,0.70589,0.49782,1.62376,1.69405,1.58873,0.00153497,0.00153497,0.00153497
10,111.993,1.59477,1.53829,1.58655,0.76061,0.73945,0.7483,0.51729,1.56684,1.58781,1.55199,0.00151847,0.00151847,0.00151847
11,123.408,1.57736,1.51817,1.56312,0.75978,0.73449,0.73114,0.53867,1.56422,1.7012,1.56922,0.00150197,0.00150197,0.00150197
12,134.691,1.59246,1.46962,1.5727,0.69688,0.73945,0.73408,0.52587,1.6153,1.63819,1.55839,0.00148546,0.00148546,0.00148546
13,145.896,1.56731,1.44888,1.5524,0.74383,0.70596,0.71911,0.5332,1.59205,1.57841,1.54547,0.00146896,0.00146896,0.00146896
14,157.268,1.54341,1.41666,1.54049,0.77192,0.74194,0.74794,0.54391,1.61369,1.43568,1.60841,0.00145246,0.00145246,0.00145246
15,168.665,1.53787,1.4217,1.54759,0.79095,0.73687,0.75981,0.56856,1.41494,1.44996,1.44133,0.00143595,0.00143595,0.00143595
16,180.158,1.51051,1.38129,1.51845,0.79929,0.74566,0.77709,0.57428,1.53997,1.41844,1.53293,0.00141945,0.00141945,0.00141945
17,191.373,1.49489,1.35987,1.51858,0.83353,0.77171,0.79821,0.59151,1.4437,1.22877,1.47651,0.00140295,0.00140295,0.00140295
18,202.643,1.48838,1.3405,1.50834,0.78955,0.77171,0.77133,0.55762,1.50001,1.31349,1.52036,0.00138644,0.00138644,0.00138644
19,213.725,1.46278,1.29824,1.48733,0.81669,0.76551,0.80165,0.57845,1.38638,1.25982,1.43492,0.00136994,0.00136994,0.00136994
20,225.235,1.49205,1.29794,1.49451,0.78884,0.75533,0.79795,0.57758,1.52151,1.27036,1.49548,0.00135344,0.00135344,0.00135344
21,236.661,1.44289,1.30013,1.4785,0.76482,0.7531,0.76357,0.56708,1.56131,1.41763,1.53121,0.00133693,0.00133693,0.00133693
22,247.864,1.43592,1.26148,1.4645,0.80736,0.77792,0.79279,0.568,1.44321,1.28525,1.47134,0.00132043,0.00132043,0.00132043
23,259.27,1.44024,1.25771,1.46503,0.83662,0.77364,0.80475,0.59485,1.46374,1.28852,1.47197,0.00130393,0.00130393,0.00130393
24,270.624,1.41683,1.22014,1.44788,0.80505,0.76633,0.78164,0.58112,1.49866,1.33137,1.50288,0.00128742,0.00128742,0.00128742
25,281.821,1.41332,1.21729,1.44757,0.79676,0.76107,0.77939,0.58534,1.56753,1.31627,1.50356,0.00127092,0.00127092,0.00127092
26,293.01,1.40177,1.20562,1.44067,0.79222,0.77295,0.80296,0.6009,1.54372,1.27166,1.53864,0.00125442,0.00125442,0.00125442
27,304.231,1.39247,1.21602,1.4532,0.79389,0.77295,0.78619,0.58621,1.48769,1.28422,1.47581,0.00123791,0.00123791,0.00123791
28,315.49,1.40774,1.22091,1.4581,0.81234,0.74913,0.79671,0.56774,1.46152,1.24749,1.45881,0.00122141,0.00122141,0.00122141
29,326.762,1.37855,1.17339,1.41989,0.84795,0.73325,0.78434,0.57546,1.52255,1.29635,1.55339,0.00120491,0.00120491,0.00120491
30,337.976,1.37318,1.16273,1.41654,0.81259,0.81141,0.81933,0.60482,1.45057,1.21894,1.50128,0.0011884,0.0011884,0.0011884
31,349.201,1.36181,1.17511,1.43512,0.83983,0.77916,0.8125,0.60905,1.4361,1.20214,1.49606,0.0011719,0.0011719,0.0011719
32,360.326,1.37217,1.14842,1.42412,0.82383,0.78288,0.81235,0.60341,1.46653,1.13766,1.51791,0.0011554,0.0011554,0.0011554
33,371.639,1.3445,1.14646,1.42255,0.82195,0.78716,0.8192,0.61535,1.44344,1.15887,1.49989,0.00113889,0.00113889,0.00113889
34,382.875,1.35015,1.12395,1.413,0.79775,0.78288,0.79493,0.61207,1.40356,1.19361,1.45968,0.00112239,0.00112239,0.00112239
35,394.175,1.36016,1.12739,1.40626,0.75507,0.7866,0.79325,0.56996,1.47167,1.24305,1.46845,0.00110589,0.00110589,0.00110589
36,405.38,1.33777,1.12011,1.41277,0.79066,0.79236,0.81448,0.62237,1.36879,1.20363,1.41409,0.00108938,0.00108938,0.00108938
37,416.647,1.31315,1.07857,1.37494,0.82363,0.79777,0.81762,0.60181,1.47958,1.19171,1.50847,0.00107288,0.00107288,0.00107288
38,427.918,1.32621,1.09255,1.39927,0.85251,0.78769,0.8248,0.61369,1.43697,1.15091,1.50475,0.00105638,0.00105638,0.00105638
39,439.304,1.32308,1.08054,1.39068,0.83114,0.80769,0.82405,0.62491,1.39019,1.17311,1.44894,0.00103987,0.00103987,0.00103987
40,450.664,1.30714,1.07416,1.39303,0.86254,0.76122,0.80974,0.61346,1.45121,1.1611,1.46415,0.00102337,0.00102337,0.00102337
41,461.873,1.33661,1.09928,1.39933,0.82354,0.79486,0.81668,0.60687,1.50556,1.1193,1.51698,0.00100687,0.00100687,0.00100687
42,473.21,1.29367,1.06825,1.37969,0.80906,0.81638,0.81763,0.60785,1.39853,1.09245,1.44952,0.000990365,0.000990365,0.000990365
43,484.743,1.31163,1.04017,1.3814,0.84665,0.79032,0.82403,0.61015,1.35755,1.08139,1.41544,0.000973861,0.000973861,0.000973861
44,496.118,1.2911,1.03594,1.37343,0.82144,0.76526,0.81892,0.60454,1.42039,1.14801,1.45126,0.000957358,0.000957358,0.000957358
45,507.678,1.29003,1.04213,1.37621,0.81995,0.79777,0.81917,0.62341,1.3508,1.17193,1.43019,0.000940855,0.000940855,0.000940855
46,519.066,1.27338,1.02179,1.35055,0.8158,0.81767,0.83105,0.62652,1.38202,1.07959,1.44167,0.000924352,0.000924352,0.000924352
47,530.426,1.27708,1.02815,1.35557,0.81235,0.79007,0.82153,0.61981,1.41551,1.09048,1.46235,0.000907848,0.000907848,0.000907848
48,541.789,1.2683,1.01776,1.35462,0.81244,0.79872,0.82286,0.62911,1.41758,1.15216,1.50001,0.000891345,0.000891345,0.000891345
49,553.301,1.25197,1.01955,1.35193,0.84411,0.79032,0.83128,0.63597,1.37298,1.0864,1.46324,0.000874842,0.000874842,0.000874842
50,564.641,1.25288,1.00284,1.33721,0.83384,0.79777,0.82913,0.63691,1.3824,1.10483,1.49335,0.000858338,0.000858338,0.000858338
51,575.931,1.22894,0.99138,1.32739,0.81624,0.81459,0.82743,0.60222,1.48671,1.12953,1.51177,0.000841835,0.000841835,0.000841835
52,587.251,1.25664,1.00736,1.34255,0.81043,0.82506,0.82394,0.63218,1.41396,1.09888,1.46277,0.000825332,0.000825332,0.000825332
53,598.643,1.22722,0.97926,1.32424,0.84957,0.76898,0.81731,0.61852,1.43251,1.0854,1.50655,0.000808828,0.000808828,0.000808828
54,610.214,1.24152,0.98047,1.31612,0.82865,0.81097,0.82627,0.6144,1.43723,1.0447,1.50096,0.000792325,0.000792325,0.000792325
55,621.865,1.23815,0.95644,1.32394,0.83895,0.79777,0.82345,0.63068,1.41046,1.12407,1.47469,0.000775822,0.000775822,0.000775822
56,633.215,1.21576,0.93145,1.3143,0.82795,0.80273,0.82717,0.60724,1.47094,1.03534,1.52413,0.000759318,0.000759318,0.000759318
57,644.561,1.17232,0.91268,1.28178,0.81757,0.81141,0.82609,0.62788,1.41322,1.02848,1.49915,0.000742815,0.000742815,0.000742815
58,656.081,1.20188,0.94231,1.29808,0.85739,0.7928,0.82915,0.61605,1.42364,1.04041,1.49055,0.000726312,0.000726312,0.000726312
59,667.55,1.19,0.94066,1.29881,0.82704,0.80397,0.82044,0.62814,1.4011,1.01532,1.46288,0.000709809,0.000709809,0.000709809
60,678.933,1.18555,0.91641,1.28644,0.84201,0.7928,0.82358,0.61325,1.44831,1.07842,1.51308,0.000693305,0.000693305,0.000693305
61,690.529,1.15425,0.92176,1.28798,0.85482,0.77667,0.82773,0.63511,1.36704,1.06955,1.47122,0.000676802,0.000676802,0.000676802
62,701.988,1.16885,0.91314,1.28394,0.80353,0.80397,0.82271,0.63216,1.39556,1.05621,1.48708,0.000660299,0.000660299,0.000660299
63,713.271,1.16818,0.9029,1.28121,0.83137,0.80025,0.83532,0.62824,1.42404,1.01919,1.49802,0.000643795,0.000643795,0.000643795
64,724.632,1.16285,0.89824,1.2745,0.84177,0.79156,0.82756,0.61876,1.39345,1.07665,1.46258,0.000627292,0.000627292,0.000627292
65,735.931,1.17286,0.91033,1.28943,0.84321,0.80893,0.83595,0.6402,1.44041,1.05085,1.50181,0.000610789,0.000610789,0.000610789
66,747.119,1.14505,0.87201,1.26039,0.82877,0.80072,0.82575,0.62804,1.42973,1.08201,1.48877,0.000594286,0.000594286,0.000594286
